possibilidade_de_retirada_de_consentimento;u_unidade_tempo;outra_fonte_origem_dos_dados_pessoais;temporalidade;finalidade;declaracaociencia;compartilhamento_com_terceiros_operadores;number;meio_automatizado;lgpd_area;quais_areas_internas_da_organizacao;tipos_de_terceiros;finalidade_compartilhamento_interno;u_instrumentos_juridicos_sugeridos;medidas_seguranca;descricao_retirada_consentimento;os_dados_tratados_sao_limitados_aos_fins_espec_ficos_que_justificam_sua_coleta;tipo_dado_pessoal;fonte_origem_dos_dados_pessoais;outras_finalidades_areas_internas;lgpd_processo;nome_dos_terceiros;qual_o_canal_de_comunicacao;categoria_dados;assinale_abaixo_as_pol_ticas_j_utilizadas_na_sua_rea_processo;partes_que_acessam_usam_os_dados;outro_tipo_dado_pessoal;outras_medidas_seguranca;canal_de_comunicacao_questionario;base_legal_lgpd;outras_categoria_dados;outros_metodo_de_transferencia_para_destinos;descricao_do_processo;u_direitos_titular;finalidade_outro;u_conformidade;localizacao;lgpd_diretoria;paises_utilizando_o_processo;nome_do_questionario;lgpd_sistema;solicitacao_de_consentimento_quanto_a_coleta;areas_internas_com_acesso_aos_dados;metodo_de_transferencia_para_destinos;ha_transferencia_internacional_de_dados_pessoais;dado_pessoal_sensivel;titulares_de_dados_volume;localizacao_outro;outros_sistemas
;Gestão de Senhas;Brasil;;;;Cópia Eletrônica de Documentos;Ressarcimento ao SUS;Verdadeiro;RESSARCIMENTO AO SUS;Atividades Administrativas;ANS (Agência Nacional de Saúde);;;;Sim;Não;;Portal da ANS disponibiliza ABI.;Sim;O Sistema Único de Saúde de Saúde (SUS) presta atendimento ao paciente beneficiário do plano de saúde. A operadora é notificada sobre os atendimentos identificados através das ABI's e temos até 30 dias para contestar os procedimentos identificados pela ANS. No entanto, a contestação pode ser feita em duas instâncias pela operadora para comprovar que os serviços prestados não são cobertos pelo contrato. Passado o período de impugnar ou recorrer, ou caso seja decidido em última instância e mantida a identificação, a cobrança é encaminhada para a operadora de saúde pela Agência através de Guias de Recolhimento da União (GRU).;Não;;;Indeterminado;Acesso à planilha de controle do processo contem senha.;Dado referente à Saúde/Dados Médicos;Não;;;Geolocalização histórica, Nome;"Demais Órgãos Públicos (especificar quais no campo ""Nome dos Terceiros"")";Acesso A Internet, Portal Ans (Firefox), Pdf Creator, Planilha De Excel  , Adobe Reader, Pta;Falso;Sim;;;Custos Assistenciais;de  0 a 1.000;VICE-PRESIDENTE;;Não sei;Diretoria, Gerência Médica e Cadastro.;;;Outras fontes de Dados;Computador, Planilhas;Atividades Administrativas;Dados de Clientes, Dados de crianças, Dados de prestadores de serviços - pessoa física
;Gestão de Senhas;Brasil;;;;;Monitoramento TISS;Verdadeiro;MONITORAMENTO TISS (ENVIO DE INFORMAÇÕES A ANS);Atividades Administrativas;;;;;Sim;Não;;;Não;O processo tem o intuito de monitorar a utilização dos padrões impostos, já que a ANS solicita informações específicas dos arquivos que operadoras e prestadores trocam. Nesse processo, geramos o XML da competência no MV e compartilhamos o arquivo com a ANS.;Não;;;Indeterminado;Arquivos de Controle contem senha.;Dado referente à Saúde/Dados Médicos;Não;;;Geolocalização histórica, Nome;;MV SOUL, Portal Ans (Firefox);Falso;Sim;;;Custos Assistenciais;de 10.000 a 100.000;VICE-PRESIDENTE;;Não sei;T.I;;;Sistemas MV ou UNICOO;Computador, Planilhas;Atividades Administrativas;Dados de Clientes, Dados de crianças, Dados de prestadores de serviços - pessoa física
;Não há;Brasil;;;;E-Mail;SIP (Sistema de Informações de Produtos);Verdadeiro;SIP (TRANSMISSÃO DE INFORMAÇÕES A ANS);Atividades Administrativas;Unimed Brasil.;;;;Não sei;Não;;;Sim;SIP é o instrumento regulamentado pela Agência Nacional de Saúde Suplementar - ANS para envio de informações e acompanhamento da assistência prestada aos beneficiários dos planos privados de assistência à saúde. Geramos o XML com as informações de atendimentos através do MV  e o compartilhamos com a ANS.;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Nome, Geolocalização histórica;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";MV SOUL, Portal Ans (Firefox);Falso;Sim;;;Custos Assistenciais;de 10.000 a 100.000;VICE-PRESIDENTE;;Não sei;;;;Sistemas MV ou UNICOO;Computador;Atividades Administrativas;Dados de Clientes, Dados de crianças, Dados de cooperados, Dados de prestadores de serviços - pessoa física
;Não há;Brasil;;;;Documentos Físicos;Arquivamento de Documentos Físicos (Guias de Atendimentos);Verdadeiro;ARQUIVAMENTO DE DOCUMENTOS FÍSICOS (GUIAS DE ATENDIMENTOS);Atividades Administrativas;Absoluta.;;;;Sim;Não;;;Sim;Se trata do armazenamento das guias físicas que recebemos dos prestadores. O armazenamento ocorre junto da empresa terceirizada Absoluta.;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Geolocalização histórica, Nome;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";;Falso;Sim;;Empresa Terceirizada Absoluta.;Custos Assistenciais;de 10.000 a 100.000;VICE-PRESIDENTE;;Não sei;Auditoria, Autorização.;;;Via física;Outras Localizações;Atividades Administrativas;Dados de Clientes, Dados de prestadores de serviços - pessoa física, Dados de cooperados, Dados de crianças
Tem canais e plataformas disponiveis;Controle de Acesso;Brasil;;;;Outros métodos de transferência;Projetos Sociais;Verdadeiro;Ações de responsabilidade social;Atividades Administrativas;redes sociais;;;;Sim;Sim;;indicação  de colaboradores  e das instituições;Sim;Responsabilidade Social é um conjunto de práticas  que beneficia o meio social.  Ações que  uma pessoa ou uma empresa  adotam e trazem algum benefício à sociedade. pode ser através  do incentivo à prática esportiva, a educação  da comunidade  local ou  mesmo pequenos gestos do dia a dia.;Sim;Acesso aos Dados, Revogação de Consentimento;dados de  representantes das instituições;Indeterminado;não tem;Dado referente à Saúde/Dados Médicos;Sim;ouvidoria  central de atendimento;;CPF, Celular, Nome, Informações da família;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";Excel, Acesso A Internet, E-Mail;Falso;Não;;Armario;Serviço Social;de  0 a 1.000;VICE-PRESIDENTE;;Sim;Diretoria e Marketing;divulgações;redes sociais  servidores  podem estar fora do Brasil;Outras fontes de Dados, Redes Sociais;Computador, Pastas e documentos no Celular, Outras Localizações;Estratégias de Marca;Dados de colaboradores, Outras categorias
;Não há;Brasil;;;;Outros métodos de transferência;Reembolso de Instrumentadores e Anestesistas;Verdadeiro;REEMBOLSO;Atividades Administrativas;Unimed2031.;;;;Sim;Não;;;Sim;Cobrança de valor referente a diferença entre o valor da cobrança do Rol e o que a Unimed Nova Iguaçu pagou. Esse reembolso é cobrado a parte para a Unimed Rio.;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;CPF, RG, Nome, Geolocalização histórica, Dados bancários;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";E-Mail;Falso;Sim;;;Custos Assistenciais;de  0 a 1.000;VICE-PRESIDENTE;;Não sei;Reembolso, Financeiro.;Formulário do UNION.;;E-mail;Computador;Atividades Administrativas;Dados de Clientes, Dados de cooperados, Dados de prestadores de serviços - pessoa física, Dados de crianças
;Não há;Brasil;;;;;Intercâmbio à Pagar;Verdadeiro;INTERCÂMBIO À PAGAR (QUANDO OUTRA UNIMED ATENDE UM USUÁRIO DA UNIMED NOVA IGUAÇU);Atividades Administrativas;;;;;Sim;Não;;;Não;Processo de pagamento à outras Unimed's referente aos atendimentos (SADT, Internação, Consulta) realizados à beneficiários 023.;Não;;;Indeterminado;;;Não;;;Nome, Geolocalização histórica;;MV SOUL, Adobe Reader, Portal, E-Mail, Pdf Creator, UNICOO;Falso;Sim;;SOUL MV;Custos Assistenciais;de 1.000  a- 10.000;VICE-PRESIDENTE;;Não sei;Autorização, Auditoria, OPME, Reembolso.;;;Site;Outras Localizações;Atividades Administrativas;Dados de cooperados, Dados de prestadores de serviços - pessoa física, Dados de Clientes, Dados de crianças
;Não há;Brasil;Anos;;;;Cobrança de Intercâmbio;Verdadeiro;FATURAMENTO DE INTERCÂMBIO (INTERCÂMBIO À RECEBER);Atividades Administrativas;;;;;Sim;Não;;;Não;Cobrança de usuários de Intercâmbio (Outras Unimeds) na nossa área de ação. Caso necessário, solicitamos dados para outros setores.;Não;;;2;;Dado referente à Saúde/Dados Médicos;Não;;;CPF, Nome, Dados bancários, Data de aniversário/nascimento, E-mail, Geolocalização histórica, Telefone ;;Portal Unimed, MV SOUL, Adobe Reader, Pdf Creator, Excel;Falso;Sim;;;Custos Assistenciais;de 10.000 a 100.000;VICE-PRESIDENTE;;Não sei;Autorização, Reembolso, OPME, Auditoria.;;;Sistemas MV ou UNICOO;Computador, Pastas de Rede Compartilhada;Atividades Administrativas;Dados de Clientes, Dados de cooperados, Dados de crianças, Dados de prestadores de serviços - pessoa física
;Não há;Brasil;;;;;Fechamento da Folha de Pagamento;Verdadeiro;FECHAMENTO DE FOLHA DE PAGAMENTO - MÉDICOS COOPERADOS, MÉDICOS CADASTRADOS E INSTRUMENTADORAS (P.F.);Atividades Administrativas;;;;;Sim;Não;;;Não;Fechamento de folha de pagamento dos médicos cooperados e da rede credenciada.  Os dados são enviados pelo Atendimento ao Cooperado e da Produção Médica,  e compartilho dados com o setor Financeiro, para que realizem o pagamento.;Não;;;Indeterminado;;;Não;;;Celular, CPF, Dados bancários, E-mail, Nome, RG, PIS;;MV SOUL, Pdf Creator, Adobe Reader, Planilha De Excel  ;Falso;Sim;;;Custos Assistenciais;de  0 a 1.000;VICE-PRESIDENTE;;Não sei;Financeiro, Atendimento ao Cooperado.;;;Sistemas MV ou UNICOO;Computador, E-mail, Planilhas, Pastas de Rede Compartilhada;Atividades Administrativas;Dados de cooperados, Dados de prestadores de serviços - pessoa física
;Não há;Brasil;;;Sim;;Produção Médica;Verdadeiro;RECEBER PRODUÇÃO MÉDICA - COOPERADOS E PRESTADORES;Atividades Administrativas;;;Art. 11, II, a – Cumprimento de Obrigação Regulatória;;Sim;Não;;;Não;Recebimento do faturamento pelo VOXIS, auditoria e analise dos dados no MV. Caso necessário, solicitamos a outro setor, ou ao próprio prestador dados ou informações;Não;;;Indeterminado;;;Não;;;CPF, Geolocalização histórica, Nome, RG;;Voxis, MV SOUL, UNICOO, Planilha De Excel  , Word, Pdf Creator, Adobe Reader;Falso;Sim;Processo obrigatório e regulado pela ANS através do padrão TISS;;Custos Assistenciais;de 10.000 a 100.000;VICE-PRESIDENTE;;Não sei;Autorização, Financeiro, Auditoria.;;;Sistemas MV ou UNICOO;Computador, Post-its / rascunhos, Planilhas, E-mail;Atividades Administrativas;Dados de Clientes, Dados de cooperados, Dados de crianças, Dados de prestadores de serviços - pessoa física
Tem canais e plataformas  disponiveis;Controle de Acesso;Brasil;;;;Outros métodos de transferência;Projetos Sociais;Verdadeiro;Sustentabilidade  Social;Atividades Administrativas;Redes Sociais;;;;Sim;Sim;;;Sim;Sustentabilidade è a busca pelo equilibrio entre o suprimento das necessidades humanas  e a preservação dos recursos naturais, não comprometendo as proximas gerações , representando assim o equilibrio na exploração dos recursos  naturais e a preservação do meio ambiente .;Sim;Acesso aos Dados, Revogação de Consentimento;Dados de Representantes das Instituições;Indeterminado;Não tem;;Sim;Ouvidoria Central de atendimento;;CPF, Celular, Nome, Informações da família;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";E-Mail, Excel, Acesso A Internet;Falso;Não;;Armario;Serviço Social;de  0 a 1.000;VICE-PRESIDENTE;;Sim;Diretoria/Marketing;Divulgações;Redes sociais servidores podem estar fora  do Brasil.;Indicação/via terceiros, Redes Sociais;Computador, Pastas e documentos no Celular, Outras Localizações;Estratégias de Marca;Dados de colaboradores, Outras categorias
;Controle de Acesso;BRASIL;;;;;INCLUSÃO BENEFICIARIO CONTRATO EMPRESARIAL;Verdadeiro;INCLUSÃO DE NOVO BENEFICIÁRIO EM CONTRATO EMPRESARIAL;Análise e Pesquisa, Ativação de Clientes, Atividades Administrativas, Documentação do Cliente;;;;;Sim;Sim;ENDEREÇO;;Não;ACESSO A DOCUMENTOS PESSOAIS PARA INCLUSÃO DE NOVOS TITULARES OU DEPENDENTES NO CONTRATO EMPRESARIAL;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Celular, CPF, Data de aniversário/nascimento, E-mail, Informações de filhos, Nome, RG, Telefone , Outros tipos de dados pessoais;;E-Mail, Fisico;Falso;Não;;;Vendas;de  0 a 1.000;FINANCEIRA;;Não sei;SETOR DE CADASTRO;;;Documentos de Clientes, que não sejam contratos;E-mail;Análise e Pesquisa, Ativação de Clientes, Atividades Administrativas, Documentação do Cliente, Gerenciamento do relacionamento com o cliente;Dados de Clientes, Dados de crianças
;Não há;Brasil;;;;E-Mail,  Integração de aplicativos, Cópia Eletrônica de Documentos;Contestações;Verdadeiro;Contestação;Atividades Administrativas;Outras Unimed's.;;;;Sim;Não;;GIU - AJIUS;Sim;Se trata da análise do recebimento de glosas e análise da devolutiva das glosas realizadas. Recebemos a contestação pelo AJIUS, onde também é feito o tratamento da negociação após a confirmação dos dados nos sistemas de gestão. Caso necessário, solicitamos auxílio de outros setores com documentação e/ou análise.;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Nome, Data de aniversário/nascimento, Geolocalização histórica, Informações da família;Nacional;Pdf Creator, Adobe Reader, Planilha De Excel  , Word, E-Service, Giu, MV SOUL, Manual, UNICOO, Video Farma;Falso;Sim;;;Custos Assistenciais;de 10.000 a 100.000;VICE-PRESIDENTE;;Não sei;Cadastro, Autorização, Auditoria.;;;Sistemas MV ou UNICOO, Outras fontes de Dados;Computador, Planilhas, E-mail, Pastas de Rede Compartilhada;Atividades Administrativas;Dados de Clientes, Dados de cooperados, Dados de crianças, Dados de prestadores de serviços - pessoa física
;Controle de Acesso;BRASIL;;;;;DECLARAÇÃO DE SAÚDE;Verdadeiro;PREENCHIMENTO NO ATO DA VENDA OU POSTERIORMENTE NO CASO DE UM PEDIDO DA GERÊNCIA MÉDICA, DA DECLARAÇÃO DAS CONDIÇÕES GERIAS DE SAÚDE PELO CLIENTE. O CLIENTE DECLARA SE SOFRE OU SOFREU DE ALGUMA DOENÇA OU LESÃO PREEXISTENTE À ASSINATURA DO CONTRATO.;Assistência Médica, Análise e Pesquisa;;;;;Sim;Não sei;;;Não;NO ATO DO PREENCHIMENTO DA DECLARAÇÃO DE SAÚDE É RECOLHIDA INFORMAÇÕES SOBRE A EXISTENCIA DE DOENÇAS OU LESÕES PRÉ EXISTENTES SOBRE O TITULAR E DEPENDENTES PARA QUE SEJA ANALIZADO A COBERTURA PARCIAL TEMPORÁRIA PARA CADA BENEFICIARIO DO CONTRATO;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;CPF, Nome, Informações da família, Informações de filhos;;E-Mail, Fisico;Falso;Não;;;Vendas;de  0 a 1.000;FINANCEIRA;;Não sei;AUDITORIA MÉDICA E SETOR CADASTRO;;;Via física;Pastas de Rede Compartilhada, E-mail;Análise e Pesquisa, Assistência Médica, Atividades Administrativas, Documentação do Cliente;Dados de Clientes, Dados de crianças
;Outras Medidas de Segurança;Brasil;;Fornecimento de serviço contratado;;Cópia Eletrônica de Documentos, E-Mail, Telefone;;Verdadeiro;14)	Autorização de internações para realização dos clientes.;Assistência Jurídica, Gerenciamento do relacionamento com o cliente, Documentação do Cliente, Cumprimento de um Contrato, Cumprimento de Obrigação Legal ou Regulatória, Exercício Regular de Direitos em Processos Judiciais, Administrativos e Arbitrais, Ações por Canal Telefônico, Assistência Médica;Clinicas, Hospitais e Consultórios médicos.;Prestação do serviço contratado.;;Sim, validamos as informações contratuais antes de fornecermos quaisquer dados. Apenas enviamos informações para os e-mails cadastrados em contrato pelo titular dos dados;Sim;Não;;;Sim;Recepcionamos o contato do prestador de serviços (consultório medico, clinica ou hospital). Identificar o prestador. Solicitar os dados do beneficiário. Analisar o contrato do beneficiário. Analisar a situação financeira. Analisa área de abrangência. Informa senha de autorização ao prestador. Finaliza a demanda.;Não;Acesso aos Dados;;Indeterminado;Contrato e também a a Resolução Normativa 259/11 que dispõe sobre a garantia de atendimento dos beneficiários de plano privado de assistência à saúde e define os prazos para o atendimento de consultas e procedimentos.;Dado referente à Saúde/Dados Médicos, Dados Genéticos;Sim;Telefone, e-mail e plataforma eletrônica.;;CPF, Nome, RG, Data de aniversário/nascimento, E-mail;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";MV SOUL;Falso;Sim;;;Call Center;de 10.000 a 100.000;VICE-PRESIDENTE;;Não;Diretoria. áreas de autorização, cadastro, financeiro, comercial, Núcleo de Assistência a Saúde, T.I, Governança, Risco e Complance, Recursos Humanos, OPMES, Auditoria, Custos Assistenciais, Ouvidoria, Jurídico, Contabilidade.;;;Contrato, Sistemas MV ou UNICOO;Pastas de Rede Compartilhada, Planilhas, Sistemas/ Aplicativos de Terceiros, Computador, Pastas e Documentos no E-mail;Cumprimento de um Contrato;Dados de Clientes
;Não há;BRASIL;;;Sim;Formulário WEB;PROCESSOS DE AUDITORIA MÉDICA;Verdadeiro;PRORROGAÇÕES;Atividades Administrativas;INSTITUIÇÕES DE SAÚDE;;Art. 11, II, d – exercício regular de direitos em contrato, processo judicial, administrativo ou arbitral;;Sim;Não;;;Sim;DADOS NECESSÁRIOS PARA AVALIAÇÃO E LIBERAÇÃO DE DIÁRIAS PARA PACIENTES INTERNADOS.;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos, Etnia, Convicção Religiosa;Não;;;Nome, Data de aniversário/nascimento, RG, CPF;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";E-Mail;Falso;Não;;;Auditoria Médica;de 1.000  a- 10.000;VICE-PRESIDENTE;;Não;ATENDIMENTO AO CLIENTE;;;Contrato, Indicação/via terceiros;Computador, E-mail;Assistência Médica, Atividades Administrativas, Comunicação Interna;Dados de Clientes, Dados de crianças, Dados de cooperados
;Controle de Acesso;BRASIL;;;;;PROCESSOS DE AUDITORIA MÉDICA;Verdadeiro;LANÇAMENTO DE AUDITORIAS NO SISTEMA INTERNO;Análise e Pesquisa, Comunicação Interna, Atividades Administrativas, Assistência Médica, Documentação do Cliente;;;;;Sim;Não;;;Não;REALIZAR O REGISTROS DAS AUDITORIAS NO SISTEMA INTERNO DA UNIMED, ENVIADAS PELOS AUDITORES EXTERNOS, PARA CONSULTA E CONTROLE DAS INTERNAÇÕES DOS BENEFICIÁRIOS.;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos, Dados Genéticos, Etnia, Convicção Religiosa, Dado referente à Vida Sexual;Não;;;CPF, Data de aniversário/nascimento, Nome;;MV SOUL;Falso;Sim;;;Auditoria Médica;de 1.000  a- 10.000;VICE-PRESIDENTE;;Não;SISTEMA INTERNO UNIMED;;;Sistemas MV ou UNICOO, Contrato;Computador, E-mail, Planilhas;Assistência Médica, Atividades Administrativas, Documentação do Cliente;Dados de Clientes, Dados de cooperados, Dados de crianças
;Controle de Acesso;BRASIL;;;;E-Mail, Telefone;PROCESSOS DE AUDITORIA MÉDICA;Verdadeiro;AUTORIZAÇÃO DE PROCEDIMENTOS;Assistência Médica, Atividades Administrativas, Comunicação Interna;INSTITUIÇÕES DE SAÚDE;;;;Sim;;;;Sim;INFORMAÇÕES NECESSÁRIAS PARA AUTORIZAÇÕES DE PROCEDIMENTOS PARA PACIENTES INTERNADOS OU NÃO INTERNADOS, PARA LIBERAÇÃO DE MATERIAIS, MEDICAMENTOS, TRATAMENTOS COADJUVANTES  E TERAPIAS.;Não;;;Indeterminado;;;;;;CPF, Data de aniversário/nascimento, RG, Nome;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";E-Mail;Falso;Não sei;;;Auditoria Médica;de 1.000  a- 10.000;VICE-PRESIDENTE;;Não;SISTEMA INTERNO UNIMED;;;Contrato, Documentos de Clientes, que não sejam contratos, Sistemas MV ou UNICOO;E-mail, Computador;Assistência Médica, Comunicação Interna, Atividades Administrativas;Dados de Clientes, Dados de crianças
;Outras Medidas de Segurança;Brasil;;;;Cópia Eletrônica de Documentos, E-Mail;;Verdadeiro;25)	Solicitação de documento - Comprovante de quitação anual.;Análise e Pesquisa, Documentação do Cliente, Atividades Jurídicas, Gerenciamento do relacionamento com o cliente;Área financeira;;;Sim, validamos as informações contratuais antes de fornecermos quaisquer dados. Apenas enviamos informações para os e-mails cadastrados em contrato pelo titular dos dados;Sim;Não;;;Sim;Recepciona o contato do beneficiário. Analisa a solicitação. validamos os dados do beneficiário titular dos dados. submetemos a demanda ao setor responsável através de sistema eletrônico. A área recebe, analisa e confere os dados, emite o documento e responde a demanda com o documento solicitado. Finalizamos a demanda enviando o documento através de e-mail para o beneficiário.;Não;Acesso aos Dados, Correção de Dados Incompletos, Inexatos ou Desatualizados;;Indeterminado;;;Sim;Telefone, e-mail e plataforma eletrônica.;;Celular, CPF, E-mail, Nome, RG, Telefone ;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";Acesso A Internet, MV SOUL, E-Mail, Telefone;Falso;Sim;;;Call Center;de 1.000  a- 10.000;VICE-PRESIDENTE;;;Diretoria. áreas de autorização, cadastro, financeiro, comercial, Núcleo de Assistência a Saúde, T.I, Governança, Risco e Complance, Recursos Humanos, OPMES, Auditoria, Ouvidoria, Jurídico, Contabilidade.;;;Contrato, Sistemas MV ou UNICOO;Sistemas/ Aplicativos de Terceiros, E-mail;Ações por Canal Telefônico, Documentação do Cliente, Gerenciamento do relacionamento com o cliente, Exercício Regular de Direitos em Processos Judiciais, Administrativos e Arbitrais;Dados de Clientes
;Backup ou Cópia de Segurança, Controle de Acesso;Brasil;;;;;Suporte TI - Atendimento - tíquetes;Verdadeiro;ATENDIMENTO À TÍQUETES DE SUPORTE;Atividades Administrativas;;;;;Não;Não;;;Não;Processo onde tratamos as demandas referentes aos tíquetes que são abertos pelos colaboradores.;Não;Acesso aos Dados;;Indeterminado;Utilizamos a ferramenta do GLPI visando centralizar a gestão de incidentes e gerenciar as demandas de acordos com as solicitações.;;Sim;E-mail, contato telefônico.;;Celular, CPF, Data de aniversário/nascimento, E-mail, IP, Nome;;Glpi;Falso;Não;;;Tecnologia da Informação;de  0 a 1.000;PRESIDENTE;;Não;;;;E-mail, Ligação, Sistemas MV ou UNICOO;Computador, Pastas de Rede Compartilhada, Sistemas/ Aplicativos de Terceiros;Atividades Administrativas;Dados de colaboradores, Dados de cooperados
